标准答案,题干,选项A,选项B,选项C,选项D,选项E,,,
B,治疗热淋涩痛，宜选用,知母,芦根,天花粉,夏枯草,石膏,,,
B,治疗胃热呕哕，宜选用,知母,芦根,天花粉,夏枯草,石膏,,,
E,茯苓的功效是,利水渗湿,利水渗湿，泄热,利水渗湿，清热排脓,利水渗湿，健脾除痹,利水渗湿，健脾宁心,,,
D,具有开窍、辟秽、止痛功效的药物是,麝香,冰片,龙骨,苏合香,石菖蒲,,,
E,下列不属于羚羊角主治病证的是,惊痫抽搐,头晕目眩,目赤头痛,热毒发斑,风湿痹痛,,,
D,功效具有凉血止血、清肝泻火的药物是,小蓟,大蓟,地榆,槐花,侧柏叶,,,
C,艾叶除了具有温经止血、散寒调经之功效外，还兼有,止痢,截疟,止痒,补虚,利尿,,,
B,下列何药为治疗湿热泻痢的要药,黄芩,黄连,黄柏,龙胆草,淡竹叶,,,
B,治疗亡阳证，寒饮咳喘，应选用的药物是,附子,干姜,肉桂,吴茱萸,小茴香,,,
A,桑寄生的功效不包括的是,利水,安胎,强筋骨,祛风湿,补肝肾,,,
D,功效为收敛固涩、益气生津、补肾宁心的药物是,乌梅,诃子,肉豆蔻,五味子,赤石脂,,,
A,山楂的功效是,消食健胃，行气散瘀,消食除胀，降气化痰,消食健胃，回乳消胀,消食健胃，疏肝解郁,消食健胃，涩精止遗,,,
C,下列何药是消除脘腹胀满之要药,藿香,苍术,厚朴,砂仁,佩兰,,,
E,车前子的功效不包括的是,明目,祛痰,利尿通淋,渗湿止泻,收湿敛疮,,,
D,天冬与麦冬相比，功效偏于治疗,肺阴虚,胃阴虚,心阴虚,肾阴虚,肠燥便秘,,,
D,既能泻下冷积，逐水退肿，又能祛痰利咽，治疗喉痹的药物是,大黄,芒硝,牛蒡子,巴豆,芫花,,,
B,大蓟治疗血热出血证，多用于治疗,尿血、血淋,吐血、咯血,面部出血,胃肠出血,便血,,,
C,功效燥湿消痰，下气除满，治疗梅核气的药物是,苍术,枳实,厚朴,陈皮,木香,,,
C,郁李仁的功效是,润肠通便，润肺止咳,疏散风热，清肺利咽,润肠通便，下气利水,润肠通便，祛痰利咽,润肠通便，消肿散结,,,
A,栝蒌薤白白酒汤证的病机是,胸阳不振，痰饮上乘,痰涎壅盛，胸中痹阻,寒饮内停，逆而上冲,中阳不足，寒凝气滞,饮邪上乘，胸中气滞,,,
B,“温邪上受”中“上受”是指,温邪上犯头目,温邪从口鼻侵入,温邪直入心包,温邪邪郁肺卫,温邪蒙蔽上焦,,,
B,不属于温病卫分证的是,风热,风寒,湿热,暑热,燥热,,,
A,治疗湿温初起，三大禁忌包括,禁润,禁清,禁吐,禁消,禁补,,,
C,治疗寒热错杂致呕宜选用,小柴胡汤,厚朴半夏汤,半夏泻心汤,桂枝茯苓丸,甘草干姜汤,,,
C,下列《素问·至真要大论》的原文哪项不正确,诸风掉眩，皆属于肝,诸寒收引，皆属于肾,诸气膹郁，皆属于肝,诸湿肿满，皆属于脾,诸热瞀瘈，皆属于火,,,
C,治痿独取,少阳,太阳,阳明,太阴,少阴,,,
B,桂枝汤治疗的汗证是由于,阳虚不能固摄于外,营卫不和，卫气不固，开合失权,外邪化热，热迫津出,卫虚失固，腠理疏松,风寒外袭，卫阳不固,,,
B,患者，男，28岁，现发热恶热，烦躁，口渴喜饮，汗多，面赤，舌红，苔灰黑，脉数有力。其证属,风淫证,火淫证,暑淫证,湿淫证,燥淫证,,,
B,患者，女，35岁，现症见面色晦滞，神疲乏力，气短懒言，食少纳呆，肢体麻木，舌淡紫或有瘀点瘀斑，脉细涩。其证属,气虚证,气虚血瘀证,气血两虚证,气不摄血证,气滞血瘀证,,,
C,患者，男，69岁，近日脘腹痞胀，泛吐清水，伴有胸闷，心悸，息促不得卧，舌苔白滑，脉滑。其证属,痰证,水停证,饮证,气虚证,气逆证,,,
A,患者，男，38岁，现身热，无恶寒，汗出，烦渴，胸闷痛，舌红苔黄，脉数。其证属,邪热壅肺证,热扰胸膈证,风热犯肺证,燥热犯肺证,热灼营阴证,,,
B,患者男，69岁，近日食欲不振，食少腹胀，便溏，并久咳不止，气短而喘，咯痰清稀，声低懒言，神疲乏力，舌淡，苔白滑，脉弱。其证属,心肺气虚证,脾肺气虚证,肺肾气虚证,脾肾阳虚证,脾气虚证,,,
D,患者因过度悲忧，导致肺气耗伤或宣降失常。其病机是,思则气结,恐则气下,怒则气上,悲则气消,喜则气缓,,,
A,患者因过度思虑，导致心脾气机郁滞，运化失职。其病机是,思则气结,恐则气下,怒则气上,悲则气消,喜则气缓,,,
C,因流产而失血过多，导致月经不调，久不怀孕。其病在,阴维脉、阳维脉,督脉、任脉,冲脉、任脉,阴跷脉、阴维脉,阴跷脉、阳跷脉,,,
E,患者，久病眼睑开合失司，下肢运动不利。其病在,阴维脉、阳维脉,督脉、任脉,冲脉、任脉,阴跷脉、阴维脉,阴跷脉、阳跷脉,,,
C,足少阴经循行于人体的,下肢内侧前缘,下肢外侧后缘,下肢内侧后缘,下肢外侧中线,下肢外侧前缘,,,
E,足阳明经循行于人体的,下肢内侧前缘,下肢外侧后缘,下肢内侧后缘,下肢外侧中线,下肢外侧前缘,,,
B,邪气退却而正气大伤的病理状态为,正胜邪退,邪去正虚,邪胜正衰,正虚邪恋,邪正相持,,,
E,正气不能完全祛邪外出，邪气可以稽留于一定的部位为,正胜邪退,邪去正虚,邪胜正衰,正虚邪恋,邪正相持,,,
B,疾病发生的重要条件是,地域因素,邪气侵害,邪盛正衰,气候因素,正气不足,,,
E,疾病发生的基础是,地域因素,邪气侵害,邪盛正衰,气候因素,正气不足,,,
A,阳虚日久，导致阴气化生不足反映的阴阳关系是,互根互用,阴阳转化,阴阳消长,阴阳互藏,对立相反,,,
D,统一体中的阴阳双方，每一方都包含有另一方的阴阳关系是,互根互用,阴阳转化,阴阳消长,阴阳互藏,对立相反,,,
C,虚人感冒应选用的方法是,急则治其标,缓则治其本,标本同治,先扶正后祛邪,先祛邪后扶正,,,
A,二便不利应选用的方法是,急则治其标,缓则治其本,标本同治,先扶正后祛邪,先祛邪后扶正,,,
B,身热初按热甚，久按热反转轻者为,热甚,热在表,热在里,湿热内蕴,实热证,,,
C,久按其热反甚者为,热甚,热在表,热在里,湿热内蕴,实热证,,,
E,小儿邪入脏腑，病情严重者，食指络脉的表现是,达于气关,显于风关,未超风关,透关射甲,达于命关,,,
D,小儿病情凶险者，食指络脉的表现是,达于气关,显于风关,未超风关,透关射甲,达于命关,,,
C,牙齿光燥如石多见于,心脾积热,虚火上炎,阳明热盛,胃肾热盛,温热病晚期,,,
E,牙齿燥如枯骨多见于,心脾积热,虚火上炎,阳明热盛,胃肾热盛,温热病晚期,,,
D,面色淡白多属,戴阳证,亡阳证,阳虚水泛,血虚证,肝郁脾虚,,,
B,面色苍白，白中透青多属,戴阳证,亡阳证,阳虚水泛,血虚证,肝郁脾虚,,,
A,食指络脉色青者多见于,惊风,病危,里热证,脾虚证,外感表证,,,
D,食指络脉色淡者多见于,惊风,病危,里热证,脾虚证,外感表证,,,
E,支饮饮停的部位是,胸胁,胃肠,头面,四肢,心肺,,,
D,溢饮饮溢的部位为,胸胁,胃肠,头面,四肢,心肺,,,
E,百日咳的咳嗽特点是,咳声不扬，痰黄黏稠,咳声低微，痰稀量多,咳嗽气喘，有哮鸣吏,咳如犬吠，声言嘶哑,咳声短促，咳后有鸡鸣样回声,,,
D,白喉的咳嗽特点是,咳声不扬，痰黄黏稠,咳声低微，痰稀量多,咳嗽气喘，有哮鸣吏,咳如犬吠，声言嘶哑,咳声短促，咳后有鸡鸣样回声,,,
E,沉弦脉的临床意义是,血瘀寒凝,肝郁化火,气分实热,肝肾阴虚,水饮内停,,,
A,沉涩脉的临床意义是,血瘀寒凝,肝郁化火,气分实热,肝肾阴虚,水饮内停,,,
A,具有祛风，通络，止痉功效的药物是,蕲蛇,木瓜,威灵仙,秦艽,桑寄生,,,
B,具有舒筋活络，和胃化湿功效的药物是,蕲蛇,木瓜,威灵仙,秦艽,桑寄生,,,
E,具有敛肺降火，涩肠止泻，敛汗止血，收湿敛疮功效的药物是,龙骨,诃子,乌梅,五味子,五倍子,,,
D,具有收敛固涩，益气生津，补肾宁心功效的药物是,龙骨,诃子,乌梅,五味子,五倍子,,,
B,麝香的功效是,开窍醒神，清热止痛,开窍醒神，活血通经，消肿止痛,开窍醒神，辟秽止痛,化痰开窍，凉肝息风，清热解毒,开窍醒神，清心化痰,,,
D,牛黄的功效是,开窍醒神，清热止痛,开窍醒神，活血通经，消肿止痛,开窍醒神，辟秽止痛,化痰开窍，凉肝息风，清热解毒,开窍醒神，清心化痰,,,
C,具有利湿去浊，祛风除痹功效的药物是,滑石,茵陈,萆薢,地肤子,泽泻,,,
B,具有清利湿热，利胆退黄功效的药物是,滑石,茵陈,萆薢,地肤子,泽泻,,,
A,治疗腹痛、泄泻，为温暖中焦之主药的是,干姜,附子,肉桂,丁香,吴茱萸,,,
C,治疗阳痿、宫冷，虚阳上浮的药物是,干姜,附子,肉桂,丁香,吴茱萸,,,
C,入汤剂宜后下的药物是,贵重药物,胶类药物,气味芳香的药物,矿物、介壳类药物,粉末状及带有绒毛的药物,,,
B,入汤剂宜烊化的药物是,贵重药物,胶类药物,气味芳香的药物,矿物、介壳类药物,粉末状及带有绒毛的药物,,,
C,患者恶风发热，咳嗽痰少，伴目赤涩痛，首选药物是,薄荷,荆芥,桑叶,菊花,牛蒡子,,,
E,患者恶风发热，咳嗽痰多，伴咽喉肿痛，首选药物是,薄荷,荆芥,桑叶,菊花,牛蒡子,,,
E,具有清热解毒，祛风止痛功效的药物是,鱼腥草,牡丹皮,败酱草,山慈菇,大血藤,,,
C,具有清热解毒，祛瘀止痛功效的药物是,鱼腥草,牡丹皮,败酱草,山慈菇,大血藤,,,
B,石水的病机为,肾阳不足，水停泛滥,肾阳衰微，水湿凝结,脾虚失运，水湿内停,肺失通调，停水外溢,水湿滞留，营卫郁滞,,,
A,正水的病机为,肾阳不足，水停泛滥,肾阳衰微，水湿凝结,脾虚失运，水湿内停,肺失通调，停水外溢,水湿滞留，营卫郁滞,,,
C,属于桑菊饮功用的是,消食导滞,行气化滞,宣肺止咳,燥湿和胃,消痞除癥,,,
A,酸枣仁汤中益心脾而宁心神的药物是,茯苓,远志,茯神木,石菖蒲,琥珀,,,
E,不含川芎的方剂是,温经汤,四物汤,越鞠丸,生化汤,归脾汤,,,
D,败毒散与参苏饮组成中均含有的药物,人参、苏叶,人参、羌活,半夏、茯苓,枳壳、前胡,生姜、薄荷,,,
D,恶寒发热，无汗，头痛项强，肢体酸楚疼痛，口苦微渴，舌苔白或微黄，脉浮。治宜选用,越鞠丸,麻杏石甘汤,天麻钩藤饮,九味羌活汤,大青龙汤,,,
B,下列不属于至宝丹功用的是,开窍,息风,化浊,解毒,清热,,,
E,属于天台乌药散组成药物的是,陈皮,草豆蔻,肉桂,厚朴,川楝子,,,
E,玉屏风散的功用为,涩肠止遗,清热养血,固冲摄血,补肾纳气,益气固表止汗,,,
A,朱砂安神丸中泻火除烦的药物是,黄连,石膏,竹叶,知母,栀子,,,
D,天王补心丹与朱砂安神丸组成中均含有的药物有,炙甘草,玄参,黄柏,生地黄,酸枣仁,,,
E,酸枣仁汤中养肝血，安心神的药物是,茯苓,甘草,知母,川芎,酸枣仁,,,
D,保和丸的组成药物中含有,半夏、生姜,神曲、金银花,陈皮、甘草,山楂、神曲,茯苓、白术,,,
E,下列属于槐花散功用的是,行气解郁,解表散邪,清热解毒,祛湿排脓,疏风行气,,,
E,治疗头微痛，恶寒无汗，咳嗽痰稀，鼻塞咽干，舌苔白，脉弦，应首选,麻黄汤,止嗽散,小青龙汤,桑杏汤,杏苏散,,,
D,止嗽散的组成药物中含有,防风,木香,杏仁,陈皮,款冬花,,,
A,川楝子在一贯煎中的作用是,疏肝理气,君药,臣药,杀虫,反佐药,,,
B,下列主治气虚、外感风寒湿表证的方剂是,黄芪建中汤,败毒散,防风通圣散,补中益气汤,葛根芩连汤,,,
D,身热汗多，口渴心烦，小便短赤，体倦少气，精神不振，脉虚数，治宜用,银翘散,大青龙汤,九味羌活汤,清暑益气汤,麻杏石甘汤,,,
D,天王补心丹的主治辨证要点是,精神恍惚，悲伤欲哭，舌红苔少，脉细,心悸失眠，体倦食少，舌淡，脉细弱,失眠，惊悸，舌红苔黄，脉弦数,失眠，心悸，手足心热，舌红少苔，脉细数,虚烦失眠，咽干口燥，舌红，脉弦细,,,
E,半身不遂，口眼歪斜，语言謇涩，口角流涎，脉缓无力者。选方为,桃核承气汤,小活络丹,温经汤,血府逐瘀汤,补阳还五汤,,,
D,少腹急结，小便自利，甚则烦躁谵语，神志如狂，至夜发热；以及血瘀经闭，痛经，脉沉实而涩者，方用,天麻钩藤饮,补阳还五汤,八正散,桃核承气汤,血府逐瘀汤,,,
A,症见口眼歪斜，面肌抽动，舌淡红，苔白者，宜用,牵正散,小活络丹,补阳还五汤,大秦艽汤,镇肝息风汤,,,
B,猪苓汤的主治证候是,水蓄下焦证,水热互结证,水道失畅证,脾虚湿盛证,饮停心下证,,,
E,生地、熟地同用的方剂是,炙甘草汤,独活寄生汤,右归丸,一贯煎,百合固金汤,,,
C,苏合香丸的功效为,清热开窍，息风止痉,化浊开窍，清热解毒,温通开窍，行气止痛,清热解毒，开窍醒神,通阳散结，行气祛痰,,,
C,久咳不已，咳甚则气喘自汗，痰少而黏，脉虚数者，方用,真人养脏汤,四神丸,九仙散,桑螵蛸散,固冲汤,,,
E,主治风痰上扰证的方剂是,二陈汤,定喘汤,大定风珠,大秦艽汤,半夏白术天麻汤,,,
D,下列属于真人养脏汤主治病证的是,久泻久痢，肠胃寒积证,久泻久痢，肝肾虚寒证,久泻久痢，肾阳衰微证,久泻久痢，脾肾虚寒证,久泻久痢，脾胃虚寒证,,,
B,下列各项中，自汗、盗汗均可治疗的方剂是,九仙散,牡蛎散,酸枣仁汤,玉屏风散,当归六黄汤,,,
B,下列不属于一贯煎组成药物的是,麦冬,玄参,当归,生地,枸杞子,,,
E,不属于十枣汤组成药物的是,大枣,芫花,大戟,甘遂,甘草,,,
C,具有行气散结，降逆化痰功用的方剂是,定喘汤,二陈汤,半夏厚朴汤,苏子降气汤,柴胡疏肝散,,,
E,体现叶天士“入血就恐耗血动血，只须凉血散血”的方剂是,清营汤,芍药汤,白虎汤,黄连解读汤,犀角地黄汤,,,
A,下列抗菌药物中是治疗肺炎球菌肺炎首选的是,青霉素,红霉素,四环素,庆大霉素,三代头孢菌素,,,
A,关于急性白血病的叙述，不正确的是,出血的机制是凝血因子缺乏,呈正细胞正色素性贫血,是造血干细胞的恶性克隆性疾病,半数以上患者以发热起病,感染是最常见的死亡原因之一,,,
B,糖化血红蛋白A1可反映平均血糖水平的时间是,6～8周,8～12周,1～2周,2～4周,4～6周,,,
E,关于肺心病的说法，错误的是,COPD病史最常见,肺动脉瓣区S2亢进,剑突下可触及心脏搏动,下肢水肿,心力衰竭以左心衰为主,,,
B,下列各项哪项是哮喘发作时，缓解支气管痉挛作用最快的,茶碱,β2受体激动剂,色苷酸钠,异丙托溴铵,糖皮质激素,,,
D,肺癌常见的淋巴结转移部位是,颌下淋巴结,颏下淋巴结,颈前淋巴结,锁骨上淋巴结,腋窝淋巴结,,,
C,慢性肾炎治疗措施中不做常规应用的是,避免有损肾功能的因素,应用血小板解聚药,糖皮质激素及细胞毒药物,积极控制血压,优质低蛋白饮食及低磷饮食,,,
B,首选糖皮质激素治疗的疾病是,白细胞减少症,原发免疫性血小板减少症,缺铁性贫血,再生障碍性贫血,急性白血病,,,
D,可继发再生障碍性贫血的疾病是,慢性肾炎,肾病综合征,急性胰腺炎,病毒性肝炎,糖尿病,,,
E,救治急性一氧化碳中毒最有效的措施是,输注新鲜全血,输注浓缩红细胞悬液,应用呼吸兴奋剂,进行机械通气,高压氧治疗,,,
A,有机磷杀虫药中毒时患者呼气的特异气味是,大蒜臭味,汗臭味,烂苹果味,氨味,肝臭味,,,
A,洋地黄中毒引发的室早，首选的治疗措施是,立即停用洋地黄,静脉注射利多卡因,休息,吸氧,停用排钾利尿剂,,,
E,X线钡餐检查诊断消化性溃疡的直接征象是,充盈缺损,胃壁蠕动减少呈皮革状,黏膜呈锯齿状增粗,有激惹及变形,龛影,,,
C,属于低血容量性休克的情况为,细胞性休克,神经精神性休克,失血性休克,感染性休克,过敏性休克,,,
C,萎缩性胃炎，胃黏膜的病理改变是,糜烂，出血,渗出,苍白，颗粒状,肥厚，粗糙,充血，水肿,,,
C,癫痫单纯部分性发作一般不超过,数十分钟,1小时,不超过1分钟,数分钟,十数分钟,,,
D,与原发性肝癌发病最密切相关的是,戊型肝炎,自身免疫性肝炎,肝血管瘤,乙型肝炎,多囊肝,,,
B,一旦确诊为心脏骤停，应立即,人工呼吸,心脏按压,清理呼吸道,口对口呼吸,气管内插管,,,
C,骨髓增生异常综合征血象检查最明显的改变是,白细胞计数明显增多,白细胞持续降低,持续性全血细胞减少,骨髓巨核细胞减少,持续性全血细胞增多,,,
C,富含嘌呤的食物是,牛奶,鸡蛋,动物内脏,黄瓜,米饭,,,
E,肠套叠可见腹痛，并伴有的症状是,急性发热,黄疸,呃逆,腹泻,血便,,,
D,患者X线下见两肺上部有多发的厚壁空洞，周围有较广泛的纤维条索影。应首先考虑的疾病为,肺大泡,肺脓肿,浸润型肺结核空洞形成,慢性纤维空洞型肺结核,周围型肺癌空洞形成,,,
A,下列哪项是甲状腺功能减退病人可见的面容,黏液性水肿面容,苦笑面容,无欲貌,满月脸,肢端肥大症面容,,,
E,风湿热引起发热的主要原因是,坏死物质吸收,内分泌与代谢障碍,产热过多,散热过少,抗原-抗体反应,,,
C,可引起阻塞性黄疸的疾病是,蚕豆病,病毒性肝炎,胰头癌,系统性红斑狼疮,毒蕈中毒,,,
C,胆囊触痛征（墨菲征）阳性，见于,胰头癌,肝癌,急性胆囊炎,肝硬化,胆囊癌,,,
D,红细胞直径＞15μm见于,溶血性贫血,失血性贫血,缺铁性贫血,巨幼细胞贫血,再生障碍性贫血,,,
C,导致内出血低热的原因可能是,代谢障碍,植物神经功能紊乱,无菌性坏死物质吸收,继发感染,失血导致体温调节中枢功能障碍,,,
A,多发生脊柱前凸的部位是,腰椎,骶椎,颈段,颈胸段,胸段,,,
D,下列疾病，不出现杵状指（趾）的是,支气管扩张,肺癌,发绀型先天性心脏病,佝偻病,亚急性感染性心内膜炎,,,
B,下列各项，不会出现血小板减少的疾病是,急性放射病,急性大失血,脾功能亢进,急性白血病,再生障碍性贫血,,,
E,下列最不符合Ⅲ度房室传导阻滞的是,QRS波群形态正常,QRS波群宽大畸形,P与QRS无固定关系,心房率快于心室率,心房率慢于心室率,,,
B,无尿是尿量小于,17ml/h,100ml/24h,400ml/h,100ml/h,17ml/24h,,,
D,稽留热24小时内温差为,1℃以上,2℃以上,3℃以上,1℃以下,2℃以下,,,
C,声音嘶哑的咳嗽多由于,纵膈肿瘤,支气管癌,声带炎,支气管哮喘,支气管炎,,,
A,小量咯血是24小时咯血量不超过,100ml,300ml,400ml,500ml,1000ml,,,
C,伤寒可出现的面容为,急性热病容,慢性病容,无欲貌,水肿面容,面具面容,,,
E,抽搐伴脑膜刺激征见于,狂犬病,颅内高压,癫痫大发作,高血压脑病,蛛网膜下腔出血,,,
D,下列一般不出现气管推向健侧的是,气胸,单侧甲状腺肿大,胸腔积液,腹膜粘连,纵隔肿瘤,,,
B,FPG＞9.0mmol/L时为,高糖血症,尿糖阳性,血糖减低,低糖血症,空腹血糖过高,,,
C,高钾血症见于,胃肠引流,频繁呕吐,代谢性酸中毒,代谢性碱中毒,醛固酮增多症,,,
E,下列疾病可见低钠血症的是,胃肠引流,严重呕吐,幽门梗阻,大量出汗,以上都是,,,
B,血液中发挥生物效应的T3占总T3的,0.1%～0.3%,0.3%～0.5%,0.5%～0.7%,3%～5%,5%～7%,,,
D,发绀型先天性心脏病患者常采取的体位是,强迫俯卧位,强迫坐位,强迫仰卧位,强迫蹲位,强迫侧卧位,,,
A,触诊肝脏轻度肿大，质地稍韧，表面光滑，边缘钝，有压痛，提示的诊断是,急性肝炎,慢性肝炎,肝硬化,肝癌,肝脓肿,,,
A,下列各项，不属现病史记录内容的是,生活嗜好,起病情况,伴随症状,诊治经过,病情发展与演变过程,,,
B,医学伦理学的研究对象是,医学道德难题,医学道德关系,医学基本理论,医学基本规范,医学基本原则,,,
B,被尊称为“坐堂大夫”的医家是,华佗,张仲景,孙思邈,葛洪,薛生白,,,
D,下列除哪项外均是医德品质的内容,公正,严谨,奉献,乐观,仁爱,,,
