学科,题干,标准答案,选项A,选项B,选项C,选项D,选项E
中医儿科学,多种小儿急性传染病发病率最高的,C,新生儿期,婴儿期,幼儿期,学龄前期,学龄期
中医儿科学,新生儿期是指,A,从出生断脐到生后满28天,出生28天后到满1周岁,1～3岁,3～7岁,7～12岁
中医儿科学,幼儿期是指,C,从出生断脐到生后满28天,出生28天后到满1周岁,1～3岁,3～7岁,7～12岁
中医儿科学,正常小儿开始会爬的月龄一般是,D,2,4,6,8,10
中医儿科学,正常小儿开始会独坐的月龄一般是,C,2,4,6,8,10
中医儿科学,小儿可见解颅儿迟五软等先天禀赋不足之病，主要责之于,E,肺常不足,脾常不足,心常有余,肝常有余,肾常虚
中医儿科学,小儿易患疳证泄泻，主要责之于,B,肺常不足,脾常不足,心常有余,肝常有余,肾常虚
中医儿科学,睡中露睛多属,C,心神失养,肝风内动,脾虚气弱,胃气不和,肺气虚弱
中医儿科学,两目直视，瞪目不活多属,B,心神失养,肝风内动,脾虚气弱,胃气不和,肺气虚弱
中医儿科学,下列关于大黄法祛除胎毒的用法中不正确的是,E,用生大黄,略煮,胎粪通下后停服,脾虚气弱者勿用,胎粪通下后继续服用
中医儿科学,预防脐风最重要的措施是,D,孕妇勿感风邪,产妇勿感风邪,小儿生后避风,清洁断脐护脐,脐疮防其走黄
中医儿科学,不属于小儿正常断奶季节是,B,春季,酷暑,初秋,深秋,初冬
中医儿科学,母乳喂养应遵循的原则是,B,按时,按需,按量,按时按量,按时不按量
中医儿科学,下列各项，属于新生儿病态的是,B,马牙,胎怯,螳螂子,女婴生后3～5天乳房隆起如蚕豆到鸽蛋大小，2～3周消退,女婴生后5～7天阴道有少量流血，1～3天自止
中医儿科学,关于孕妇饮食，下列说法中可取的是,D,大冷之物,大热之物,甘肥厚味,营养丰富,辛辣炙焯
中医儿科学,下列药物中，不属于妊娠禁忌药的是,A,白术,大戟,斑蝥,麝香,乌头
中医儿科学,小儿可以完全断乳的适当年龄是,A,8～12个月,7～10个月,12～14个月,6～8个月,14～16个月
中医儿科学,不适宜给小儿断奶的季节是,B,春季,夏季,秋季,深秋,以上都不适宜
中医儿科学,在下列情况中，母亲仍应哺乳的是,A,乳汁数量少,患有传染病,重症心脏病,重症肾脏病,身体过弱
中医儿科学,下列关于添加辅食原则的说法中，不正确的是,C,由少到多,由稀到稠,由稠到稀,由细到粗,品种渐增
中医儿科学,患儿，4个月。前日其母给其喂蛋黄后，出现哭闹不安，大便干结，吃奶测少。此时应采取的措施是,B,暂停母乳喂养,暂停添加辅食,继续添加辅食,改为人工喂养,改为混合喂养
中医儿科学,患儿，出生后4天。家长发现小儿两侧颊部各有一个垫状隆起，可活动。以下观点中正确的是,D,影响吸乳，消毒后挑割,影响吸乳，手术切除,应予治疗，解毒消肿,有利吸乳，不予处理,有利吸乳，但易感染
中医儿科学,患儿，出生1天。面目红赤，多啼声响，无胎粪排出。最可能的原因是,A,胎毒,胎怯,胎惊,五硬,胎寒
中医儿科学,新生儿上腭中线和齿龈部位有散在黄白色碎米大小隆起，称为,A,马牙,螳螂子,胎黄,胎毒,口疮
中医儿科学,新生儿两侧颊部各有一脂肪垫隆起，称为,B,马牙,螳螂子,胎黄,胎毒,口疮
中医儿科学,患儿，出生9天。诊断为胎怯。症见气弱声低，皮肤薄嫩，胎毛细软。其病机是,B,心虚,肺虚,肝虚,脾虚,肾虚
中医儿科学,患儿，出生8天，诊断为胎怯。症见肌肤欠温，耳郭软，指甲软短，骨弱肢柔，睾丸不降。其病机是,E,心虚,肺虚,肝虚,脾虚,肾虚
中医儿科学,患儿，出生9天。诊断为胎怯。症见肌肉瘠薄，痿软无力，吮乳量少，呛乳溢乳，便下稀薄，目肤黄疸。其病机是,D,心虚,肺虚,肝虚,脾虚,肾虚
中医儿科学,胎怯的关键病机是,A,脾肾两虚,肺肾两虚,肝肾不足,肺脾两虚,五脏不足
中医儿科学,下列各项，对胎怯的描述错误的是,A,只包括早产儿,出生体重低于2500g,相当于西医学低出生体重儿,成为围生期死亡的主要原因之一,易并发硬肿症、败血症、新生儿窒息、黄疸等疾病
中医儿科学,胎怯的病变脏腑主要在,A,脾、肾,心、肝,心、肾,心、脾,肝、肾
中医儿科学,胎怯的基本治疗法则是,A,补肾培元,健脾益气,补肝强筋,补气养血,温运脾阳
中医儿科学,治疗胎怯肾精薄弱证首选方是,D,保元汤,归脾汤,金匮肾气丸,补肾地黄丸,六味地黄丸
中医儿科学,治疗胎怯脾肾两虚证首选方是,C,归脾汤,六味地黄丸,保元汤,补肾地黄丸,金贵肾气丸
中医儿科学,患儿，出生1天。孕期8月早产。体短形瘦，头大囟张，头发稀黄，耳壳薄软，哭声低微，肌肤不温，指甲软短，骨弱肢柔，指纹淡。其证候是,A,肾精薄弱,肝脾两虚,肺气虚弱,脾肾两虚,心脾不足
中医儿科学,患儿，出生7天。足月顺产。啼哭无力，多卧少动，肌肉瘠薄，四肢不温，吮乳乏力，呛乳溢乳，哽气多哕，腹胀腹泻，指纹淡。治疗首选方是,A,保元汤,生脉饮,六味地黄汤,补肾地黄汤,金匮肾气丸
中医儿科学,患儿，出生10天。诊断为胎怯。证见啼哭无力，多卧少动，皮肤干皱，肌肉瘠薄，四肢不温，吮乳乏力，呛乳溢乳，腹胀腹泻，甚而水肿，指纹淡。其证侯为,D,肾精薄弱,心脾不足,肺气虚弱,脾肾两虚,肝脾两虚
中医儿科学,患儿，出生10天。身长43cm，体重2300g，囟门3cm×3cm，头发稀黄，耳壳薄软、贴于两颞，啼哭时唇口紫绀，四肢不温，多卧少动，指纹淡。其治法是,C,健脾益肾，温运脾阳,益气活血，补精充髓,益精充髓，补肾温阳,益气健脾，养心安神,活血化瘀，益精充髓
中医儿科学,治疗肾精薄弱证胎怯应首选的方剂是,A,补肾地黄丸,六味地黄丸,金匮肾气丸,大补阴丸,保元汤
中医儿科学,治疗脾肾两虚证胎怯应首选的方剂是,E,补肾地黄丸,六味地黄丸,金匮肾气丸,大补阴丸,保元汤
中医儿科学,对于硬肿症的临床表现描述错误的是,A,可见紧张性水肿,腋温-肛温差由正值变为负值,低体温，体温<35℃，严重者<30℃,硬肿为对称性，依次为双下肢、臀、面颊、两上肢、背、腹、胸部等,患儿不吃、不哭、少动，严重者可伴有休克、肺出血及多脏器功能衰竭
中医儿科学,治疗硬肿症阳气虚衰证首选方是,B,四逆汤,参附汤,金匮肾气丸,当归四逆汤,血府逐瘀汤
中医儿科学,治疗硬肿症寒凝血涩证首选方是,D,四逆汤,参附汤,金匮肾气丸,当归四逆汤,血府逐瘀汤
中医儿科学,硬肿症的内因是,A,肾阳虚衰,脾肾阳虚,肺脾气虚,肝肾阴虚,脾肾两虚
中医儿科学,患儿，生后2天。症见全身冰冷，肌肤板硬而肿，范围波及全身，气息微弱，僵卧少动，哭声低怯，吸吮困难，反应极差，皮肤暗红，尿少或尤，面色苍白，唇舌色淡，指纹淡红不显。其证候是,B,寒凝血涩,阳气虚衰,脾肾虚衰,肺脾气虚,气滞血瘀
中医儿科学,患儿，出生7天。全身不温，四肢发凉，反应尚可，哭声较低，肌肤硬肿，难以捏起，臀部与小腿皮肤硬肿，颜色暗红如陈伤，指纹紫暗。其证候是,B,热毒壅滞,寒凝血涩,气弱欲绝,脾肾两虚,阳气虚衰
中医儿科学,患儿，出生10天。全身冰冷，僵卧少动，反应极差，气息微弱，哭声低怯，面色苍白，肌肤板硬而肿，范围波及全身，皮肤暗红，少尿。唇舌色淡，指纹淡红。治疗首选方,A,参附汤,四逆汤,理中汤,附子理中汤,黄芪建中汤
中医儿科学,患儿，出生8天。出生时体重2000g，啼声细弱无力，全身冰冷，僵卧少动，面色苍白，肌肉板硬而肿，硬肿范围达60％，皮肤暗红，少尿，指纹色红不显。其治法是,C,益气养心，活血化瘀,通经活络，利水消肿,益气温阳，通经活血,益气温阳，利水消肿,温经散寒，益气活血
中医儿科学,治疗硬肿症阳气虚衰证应首选的方剂是,A,参附汤,血府逐瘀汤,附子理中汤,当归四逆汤,人参五味汤
中医儿科学,治疗硬肿症寒凝血涩证应首选的方剂是,D,参附汤,血府逐瘀汤,附子理中汤,当归四逆汤,人参五味汤
中医儿科学,患儿，出生32天。症见面目皮肤发黄，色泽晦暗，持久不退，精神委靡，四肢欠温，纳呆，大便溏薄色灰白，小便短少，舌质淡，苔白腻。其证候是,A,寒湿阻滞,气滞血瘀,湿热郁蒸,胎黄动风,胎黄虚脱
中医儿科学,患儿，生后l天。症见面目皮肤发黄，色泽鲜明如橘，哭声响亮，不欲吮乳，口渴唇干，大便秘结，小便深黄，舌质红，苔黄腻。其治法是,C,行气化瘀消积,温中化湿退黄,清热利湿退黄,平肝息风，利湿退黄,大补元气，温阳固脱
中医儿科学,下列病机中，不属于胎黄病机的是,C,脾胃湿热,寒湿内蕴,肺失通调,肝失疏泄,气滞血瘀
中医儿科学,下列属于病理性黄疸的是,A,生后24h以内出现黄疸,生后第2～3日出现黄疽，第4～6日达高峰,足月儿在生后2周消退，早产儿可延迟至3～4周消退,足月儿血清总胆红素≤221μmol／L，早产儿≤257μmol／L,小儿一般情况良好，除偶有轻微食欲不振外，不伴有其他临床症状
中医儿科学,胎黄的病变脏腑是,A,肝胆、脾胃,心小肠、肝胆,肾膀胱、脾胃,肺大肠、肝胆,肾膀胱、心肺
中医儿科学,面目皮肤发黄，颜色逐渐加深，晦暗无华，右胁下痞块质硬，肚腹膨胀，青筋显露，唇色暗红，舌见瘀点，苔黄；证属,E,肠腑阻结证,寒湿内蕴证,脾运失职证,肝失疏泄证,气滞血瘀证
中医儿科学,治疗寒湿阻滞证胎黄的基本法则是,D,利水渗湿退黄,化瘀消积退黄,清热利湿退黄,温中化湿退黄,疏肝利胆退黄
中医儿科学,治疗胎黄湿热郁蒸证首选方是,A,茵陈蒿汤,茵陈理中汤,血府逐瘀汤,羚角钩藤汤,藿朴夏苓汤
中医儿科学,下列表现中，属于生理性胎黄的是,B,生后24小时出现黄疸,足月儿在出生后2周消退,黄疸消退后复现,黄疸持续3周以上,血清总胆红素300μmol／L
中医儿科学,患儿，出生26天。黄疸未退，皮肤色黄无光泽，精神萎靡，四肢不温，大便灰白而溏，舌淡苔白腻。其治法是,B,清热利湿,温中化湿,化瘀消积,平肝熄风,温阳固脱
中医儿科学,患儿，出生30天。黄疸持续不退，面目皮肤发黄，晦暗无光泽，右胁下痞块渐大，腹部胀满，口唇暗红。辨证为气滞血瘀证，最主要的辨证依据是,E,腹部胀满,黄疸不退,全身黄疸,黄疸晦暗,右胁下痞块
中医儿科学,患儿，出生10天。面目皮肤发黄，色泽鲜明如橘，哭声响亮，不欲吮乳，口渴唇干，或有发热，大便秘结，小便深黄，舌质红，苔黄腻；其证型是,A,湿热郁蒸证,寒湿内蕴证,脾气虚弱证,肝失疏泄证,气滞血瘀证
中医儿科学,患儿，出生32天。面目皮肤发黄，色泽晦暗，持久不退，腹胀，全身散在瘀斑，大便溏薄，舌有瘀点，苔黄。治疗首选方是,D,茵陈蒿汤,茵陈理中汤,茵陈五苓散,血府逐瘀汤,归脾汤
中医儿科学,胎黄寒湿阻滞证常见,D,神昏抽搐,肌肤硬肿,右胁下痞块，腹壁青筋暴露,肤黄色晦暗，大便溏薄灰白,口渴口唇干，小便黄赤短少
中医儿科学,胎黄气滞血瘀证常见,C,神昏抽搐,肌肤硬肿,右胁下痞块，腹壁青筋暴露,肤黄色晦暗，大便溏薄灰白,口渴口唇干，小便黄赤短少
中医儿科学,小儿时邪感冒的主要特点是,D,恶寒发热，鼻塞流涕，舌淡苔薄白,发热头痛，身重困倦，舌红苔黄腻,发热恶风，咽红肿痛，舌红苔薄黄,起病急骤，高热恶寒，肌肉酸痛,恶寒发热，脘腹胀痛，呕吐酸腐
中医儿科学,治疗小儿风寒感冒的首选方是,E,麻黄汤,杏苏散,小青龙汤,新加香薷饮,荆防败毒散
中医儿科学,治疗小儿暑邪感冒的首选方剂是,E,银翘散,香薷饮,桑菊饮,藿朴夏苓汤,新加香薷饮
中医儿科学,患儿，2岁。发热2小时。证见发热，恶寒，无汗，鼻塞，流清涕，微咳，咽部不红，纳少，舌淡红，苔薄白，指纹浮红。其证候是,A,风寒感冒,风热感冒,暑邪感冒,时邪感冒,感冒夹滞
中医儿科学,患儿，7岁。时值夏令，骤起发热，汗出热不解，头昏，头痛，胸闷，肢体困倦，泛恶，心烦口渴，食欲不振，大便稀溏，小便短黄，舌质红，苔黄腻，脉数。其证候是,C,风热感冒,时邪感冒,暑邪感冒,感冒夹滞,感冒夹痰
中医儿科学,患儿，5岁。证见发热，恶寒，无汗，鼻塞流涕，微咳，兼见脘腹胀满，呕吐酸腐，口气秽浊，大便酸臭，小便短黄，舌质红，苔厚腻，脉滑。其病证是,E,呕吐,腹痛,积滞,伤食泻,感冒夹滞
中医儿科学,患儿，9岁。发热半日，伴见恶风，少汗，头痛，鼻塞流涕，咽红肿痛，微咳，舌质红，苔薄黄，脉浮数。其选方是,C,桑菊饮,桑杏汤,银翘散,新加香薷饮,普济消毒饮
中医儿科学,患儿，10个月。时当八月，发热，无汗，烦躁哭闹，咽红，身重困倦，食欲不振，呕吐乳食，大便稀溏，小便短黄，舌质红，苔黄腻，脉数。其治法是,D,辛温解表,辛凉解表,清热解毒,清暑解表,清热导滞
中医儿科学,患儿，5岁。发热2日。证见发热，恶寒，无汗，头痛，鼻塞，流清涕，咳嗽阵作，喉间痰鸣，舌淡红，苔白，脉浮滑。其治法，应在解表的基础上加用,C,温肺化饮,肃肺化痰,宣肺化痰,清肺化痰,涤痰降气
中医儿科学,患儿，2岁。发热1天。证见高热，恶寒，无汗，鼻塞，惊惕哭闹，睡卧不宁，大便干结，小便短黄，舌质红，指纹紫达于气关。其治法，应在解表的基础上加用,A,清热镇惊,清心开窍,清肝熄风,清热解毒,通腑泄热
中医儿科学,感冒夹滞的病位在肺和,A,脾,心肝,肺,大肠,肾
中医儿科学,感冒夹惊的病位在肺和,B,脾,心肝,肺,大肠,肾
中医儿科学,小儿风热感冒证见,B,发热，恶寒，无汗，鼻塞，流清涕，喷嚏，微咳,发热，恶风，少汗，头痛，鼻塞流浊涕，咽红肿痛,高热，恶寒，无汗，头痛，目赤咽红，肌肉酸痛,发热，恶寒，无汗，鼻塞流涕，微咳，脘腹胀满,高热，无汗，惊惕哭闹，睡卧不宁，骤然抽风
中医儿科学,小儿时邪感冒证见,C,发热，恶寒，无汗，鼻塞，流清涕，喷嚏，微咳,发热，恶风，少汗，头痛，鼻塞流浊涕，咽红肿痛,高热，恶寒，无汗，头痛，目赤咽红，肌肉酸痛,发热，恶寒，无汗，鼻塞流涕，微咳，脘腹胀满,高热，无汗，惊惕哭闹，睡卧不宁，骤然抽风
中医儿科学,乳蛾肺胃阴虚证应首选的方剂是,C,银翘马勃散,牛蒡甘桔汤,养阴清肺汤,普济消毒饮,荆防败毒散
中医儿科学,乳蛾的治疗原则是,A,清热解毒，利咽消肿,疏风清热，利咽消肿,养阴润肺，软坚利咽,辛温解表，疏风散寒,清热解毒，软坚散结
中医儿科学,关于乳蛾的诊断要点，说法错误的是,C,以咽痛为主要症状,急性乳蛾病程短,一定伴有发热症状,可见扁桃体肿大,可伴有吞咽困难
中医儿科学,乳蛾风热搏结证的治法,A,疏风清热，利咽消肿,清热解毒，利咽消肿,养阴润肺，利咽消肿,滋阴清热，软坚利咽,清热解毒，软坚利咽
中医儿科学,患儿，4岁。咽痛6天。喉核肿大暗红，咽干咽痒，日久不愈，干咳少痰，大便干结，小便黄少，舌质红，苔少，脉细数。应首选的方剂是,C,银翘马勃散,牛蒡甘桔汤,养阴清肺汤,普济消毒饮,荆防败毒散
中医儿科学,患儿，4岁。咽痛1周。喉核肿大暗红，咽干咽痒，日久不愈，干咳少痰，大便干结，小便黄少，舌质红，苔少，脉细数。其治法是,C,疏风清热，利咽消肿.,清热解毒，利咽消肿,养阴润肺，软坚利咽,清热解毒，软解散结,利咽消肿，活血化瘀
中医儿科学,患儿，5岁。发热咽痛2天。高热不退，喉核赤肿，溃烂化脓，吞咽困难，口干口臭，大便十结，小便黄少，舌红，苔黄，脉数。其证候是,B,风热搏结,热毒炽盛,肺胃阴虚,脾胃积热,肺胃蕴热
中医儿科学,患儿，6岁。发热390C，喉核赤肿，咽喉疼痛，吞咽不利，鼻塞流涕，头痛身痛，舌红，苔薄黄，脉浮数。其证候是,A,风热搏结证,热毒炽盛证,肺胃阴虚证,脾胃积热证,肺胃蕴热证
中医儿科学,患儿，7岁。喉核赤肿，咽喉疼痛，吞咽不利，发热重，鼻塞流涕，头痛身痛，舌红，苔薄黄，脉浮数。其治法是,A,疏风清热，利咽消肿,清热解毒，利咽消肿,养阴润肺，软坚利咽,清热解毒，软解散结,利咽消肿，活血化瘀
中医儿科学,患儿，3岁。发热咽痛2天。高热不退，喉核赤肿，溃烂化脓，吞咽困难，口干口臭，大便干结，小便黄少，舌红，苔黄，脉数。其治法是,B,疏风清热，利咽消肿,清热解毒，利咽消肿,养阴润肺，软坚利咽,清热解毒，软解散结,利咽消肿，活血化瘀
中医儿科学,患儿，4岁。咽痛1周。喉核肿大暗红，咽干咽痒，日久不愈，干咳少痰，大便干结，小便黄少，舌质红，苔少，脉细数。其证候是,C,风热搏结,热毒炽盛,肺胃阴虚,脾胃积热,肺胃蕴热
中医儿科学,患儿，5岁。高热不退，喉核赤肿，溃烂化脓，吞咽困难，口干口臭，大便干结，小便黄少，舌红，苔黄，脉数。应首选的方剂是,B,银翘马勃散,牛蒡甘桔汤,养阴清肺汤,普济消毒饮,荆防败毒散
中医儿科学,下列不属于内伤咳嗽证的是,E,痰热咳嗽证,痰湿咳嗽证,气虚咳嗽证,阴虚咳嗽证,风寒咳嗽证
中医儿科学,小儿痰热咳嗽的主要特点是,B,干咳无痰，咽痒声嘶,咳嗽不爽，痰黄黏稠,咳而无力，痰白清稀,咳声重浊，痰多壅盛，色白而稀,咳嗽频作，声重咽痒，咳痰清稀
中医儿科学,小儿咳嗽的主要内因是,A,肺脾虚弱,肝肾阴虚,肺肾两虚,肝脾不和,心脾两虚
中医儿科学,小儿咳嗽的主要外因是,A,风邪,火邪,湿邪,寒邪,燥邪
中医儿科学,小儿外感风寒咳嗽的主要特点是,A,咳嗽频作，声重咽痒，咳痰清稀,咳嗽不爽，痰黄黏稠,咳声重浊，痰多壅盛，色白而稀,咳而无力，痰白清稀,干咳无痰，咽痒声嘶
中医儿科学,治疗阴虚咳嗽的首选方剂是,C,银翘散,桑菊饮,沙参麦冬汤,清金化痰汤,麦味地黄丸
中医儿科学,咳嗽的病变部位在肺，但常涉及到其他脏腑，其中最密切的是,B,肝,脾,肾,心,大肠
中医儿科学,患儿，3岁。咳嗽8天。干咳无痰，口渴咽干，喉痒，声音嘶哑，盗汗，手足心热，大便干结，舌红，少苔，脉细数。其治法是,D,健脾补肺，益气化痰,燥湿化痰，宣肺止咳,疏风散寒，宣肺止咳,滋阴润燥，养阴清肺,疏风清肺，润燥止咳
中医儿科学,患儿，3岁。咳嗽7天。干咳少痰，不易咯出，口渴咽干，喉痒，声音嘶哑，盗汗，手足心热，大便干结，舌红，少苔，脉细数。其证候是,E,风寒咳嗽,风热咳嗽,风燥咳嗽,气虚咳嗽,阴虚咳嗽
中医儿科学,患儿，5岁。咳嗽1周。证见咳嗽痰多，痰黄黏稠，难咯，喉间时有痰鸣，发热口渴，尿少色黄，舌质红，苔黄腻，脉滑数。治疗宜选方,A,清金化痰汤,桑菊饮,沙参麦冬汤,麻杏石甘汤,黄连解毒汤合三拗汤
中医儿科学,患儿，3岁。咳嗽发热2天。证见发热，38.2℃，鼻塞流浊涕，微汗恶风，咳嗽不爽，咽红，舌质红，苔薄黄，指纹浮紫。其治法是,B,疏风散寒，宣肺止咳,疏风解热，宣肺止咳,清热化痰，宣肺止咳,清热化痰，养阴润肺,清热涤痰，肃肺止咳
中医儿科学,患儿，2岁。起病2天，鼻塞流清涕，喷嚏时作，咳嗽频频，咳声较重，舌质正常，舌苔薄白，指纹浮红。其证候是,A,风寒咳嗽,风热咳嗽,痰热咳嗽,气虚咳嗽,阴虚咳嗽
中医儿科学,阴虚咳嗽证见,B,咳嗽反复不已，痰白清稀，气短懒言，自汗畏寒,干咳无痰，口渴咽干，咽痒声嘶，舌红少苔,咳嗽不爽，痰黄黏稠，不易咯出，舌苔黄腻,咳嗽频作，声重咽痒，咳痰清稀，舌苔薄白,咳嗽重浊，痰多壅盛，胸闷纳呆，舌苔白腻
中医儿科学,气虚咳嗽证见,A,咳嗽反复不已，痰白清稀，气短懒言，自汗畏寒,干咳无痰，口渴咽干，咽痒声嘶，舌红少苔,咳嗽不爽，痰黄黏稠，不易咯出，舌苔黄腻,咳嗽频作，声重咽痒，咳痰清稀，舌苔薄白,咳嗽重浊，痰多壅盛，胸闷纳呆，舌苔白腻
中医儿科学,肺炎喘嗽痰热闭肺证的临床表现为,C,恶寒发热，呛咳不爽，呼吸气急，痰白而稀,发热恶风，咳嗽气急，痰黄而黏，口渴咽红,发热烦躁，咳嗽喘促，气急鼻煽，喉间痰鸣,低热盗汗，干咳无痰，面色潮红，舌红少苔,面白少华，动则汗出，咳嗽无力，纳差便溏
中医儿科学,治疗小儿肺炎喘嗽毒热闭肺证的首选方剂是,D,银翘散,清金化痰丸,麻杏石甘汤,黄连解毒汤合麻杏石甘汤,五虎汤合葶苈大枣泻肺汤
中医儿科学,肺炎喘嗽肺脾气虚证的临床表现为,B,发热恶风，咳嗽气急，痰黄而黏，口渴咽红,面白少华，动则汗出，咳嗽无力，纳差便溏,发热烦躁，咳嗽喘促，气急鼻煽，喉间痰鸣,低热盗汗，干咳无痰，面色潮红，舌红少苔,恶寒发热，呛咳不爽，呼吸气急，痰白而稀
中医儿科学,小儿肺炎喘嗽的病机关键为,D,风寒闭肺,风热闭肺,毒热闭肺,肺气闭郁,肺脾气虚
中医儿科学,小儿肺炎喘嗽的主要治疗原则是,C,辛温宣肺，化痰止咳,辛凉宣肺，清热化痰,开肺化痰，止咳平喘,清热涤痰，肃肺定喘,清热解毒，泻肺开闭
中医儿科学,小儿肺炎喘嗽痰热闭肺证的治法是,D,辛温宣肺，化痰止咳,辛凉宣肺，清热化痰,开肺化痰，止咳平喘,清热涤痰，开肺定喘,清热解毒，泻肺开闭
中医儿科学,小儿肺炎喘嗽毒热闭肺证的治法是,E,辛温宣肺，化痰止咳,辛凉宣肺，清热化痰,开肺化痰，止咳平喘,清热涤痰，开肺定喘,清热解毒，泻肺开闭
