标准答案,题干,选项A,选项B,选项C,选项D,选项E
D,以下哪项不是火热之邪造成的病证(   ),肿,水液浑浊,躁狂越,首如裹,呕吐酸
C,脊柱前凸的好发部位是,颈段脊柱,胸段脊柱,腰段脊柱,骶椎,腰、骶段
C,16世纪提出血液循环理论的西班牙医生是,希波克拉底,阿维森纳,塞尔维特,南丁格尔,野口英世
E,灯心草除有利水通淋作用外，还能,清热排脓,清肝明目,清解暑热,清热利水,清心除烦
C,棕榈炭的功效是,收敛止血，消肿生肌,收敛止血，化瘀利尿,收敛止血，止泻止带,收敛止血，止痢,收敛止血，补虚截疟
C,伏暑，症见寒热似疟，口渴心烦，脘痞，身热午后较重，入暮尤剧，天明得汗诸症稍减，但胸腹灼热不除，苔黄白而腻，脉弦数，治宜(    ),黄芩汤,黄连温胆汤,蒿芩清胆汤,青蒿鳖甲汤,雷氏宣透膜原法
B,小儿头发稀疏黄软，生长迟缓，甚至久不生发，多因,气血亏虚,先天不足,疳积,血虚受风,肾虚
C,治疗厌食脾胃气虚证的最佳方剂为,理中汤,补中益气汤,异功散,人参五味子汤,参苓白术散
C,舌之两侧所候脏腑一般是,肺,心,肝胆,脾胃,肾
D,关于心前区震颤的叙述，正确的是,狭窄越重，震颤越强,有震颤，不一定能听到杂音,听到杂音，一定可触及震颤,触及震颤，提示心脏有器质性病变,产生机制与杂音的机制不同
C,木香具有的功效是,疏肝理气，调经止痛,行气止痛，温肾散寒,调理脾胃，行气止痛,疏肝理气，纳气平喘,疏肝解郁，燥湿化痰
E,行为人实施违反刑事法律的行为必须承担的法律责任称为,危害行为,行政行为,民事责任,行政责任,刑事责任
E,治疗五迟、五软证肝肾亏损型的首选方剂是（   ）,鹿角胶丸,加味金刚丸,虎潜丸,左归饮,加味六味地黄丸
B,五脏与五窍的关系密切，其中肾开窍于,鼻,耳,口,舌,目
D,腹痛一般不伴休克的是,十二指肠溃疡穿孔,急性心肌梗死,胃溃疡出血,泌尿系结石,中毒性菌痢
B,桂枝汤证汗出的病机是,里热炽盛，迫津外越,营卫失和，卫不固营,肠胃实热，迫津外越,阳气虚衰，卫阳不固,热郁于里，郁热上蒸
D,下列哪种形式的胆道扩张被称作Caroli病（   ）,胆总管呈球形扩张,胆总管憩室,肝外胆管成梭形扩张,肝内胆管囊状扩张,肝内外胆管扩张
C,具有平肝潜阳，镇静安神功效的药物是,琥珀,远志,龙骨,酸枣仁,合欢皮
C,心脏听诊有固定分裂，最常见的是,二尖瓣狭窄,主动脉瓣狭窄,房间隔缺损,室间隔缺损,二尖瓣关闭不全
D,独语、错语的共同病因是,风痰阻络,热扰心神,心气大伤,心气不足,痰火扰心
B,《灵枢·营卫生会》所述，下列哪项为营卫的特性(   ),营在脉外，卫在脉中,清者为营，浊者为卫,太阴主内，太阳主外,营气衰少，卫气外伐,气至阳起，至阴而止
B,具有女子先天之称的脏是,心,肝,脾,肺,肾
E,清气化痰丸的主治证是,湿痰证,燥痰证,风痰证,寒痰证,热痰证
D,下列治疗措施中，不属于胎怯西医治疗常规的是,保暖,喂养,给氧,抗感染,补充营养素
D,低热不退，手足心热甚于手足背，口干咽燥，齿黑，或心悸，或神疲多眠，耳聋，舌干绛，脉虚细。治疗方最宜选用,竹叶石膏汤,黄连阿胶汤,青蒿鳖甲汤,加减复脉汤,三甲复脉汤
D,流行性腮腺炎邪毒壅阻的经脉是,手少阳三焦经,足太阳膀胱经,足阳明胃经,足少阳胆经,手太阳小肠经
A,心理学的研究对象是人的,心理活动和行为,情绪和行为,心理活动和观念,智力和观念,智力和情绪
E,不符合急性粟粒性肺结核粟粒结节影像特点的是,密度均匀,大小均匀,分布均匀,新旧相同,边缘均匀
C,"药物配伍具有""分经论治""特点的方剂是",败毒散,大青龙汤,九味羌活汤,独活寄生汤,羌活胜湿汤
E,“霍乱”头痛发热，身疼痛，热多欲饮水者“热多”是指：,内热偏盛,湿热较盛,阴虚较盛,热与水结较盛,"邪在阳,表不解"
B,风温热陷心包的证候是,猝然昏倒，不知人事，身热肢厥,身体灼热，肢厥，神昏谵语，或昏愦不语，舌蹇，舌色鲜绛，脉细数,身热，昏愦不语，倦卧，或兼汗多气短，脉细无力；或兼面色苍白，汗出淋漓，四肢厥冷，脉微细欲绝,身热夜甚，时有谵语，斑点隐隐，舌质红绛,四肢抽搐，不知人事，汗出厥冷
E,夏季热除特有的症状外，在其兼证中，下列哪项不符：,食欲减退,面色苍白,身体日渐消瘦,肢端欠温,精神无明显改变
B,主动脉瓣关闭不全患者心浊音界是,梨形,靴形,烧瓶形,普大型,心底部增宽
E,具有疏肝解郁，宁心安神功效的药物是,石菖蒲,远志,龙骨,酸枣仁,合欢皮
C,将全脂奶粉加水配成鲜牛奶时，按体积配制的比例是,1:02,2:01,1:04,1:06,1:08
B,乳房触诊的开始部位是,内上象限,外上象限,内下象限,外下象限,乳头
D,阳明脉衰，面始焦，发始堕,七岁,二七,三七,五七,七七
D,传统上认为某药产于某一地区药材质量最好而被普遍重视，这种药材一般指的是,特产药材,名产药材,稀有药材,道地药材,贵重药材
E,颈侧颌下有肿块如豆，累累如串珠，称为,悬饮,气胸,瘿瘤,鸡胸,瘰疬
D,夏季热初期的主要部位是,心肾,脾肾,肺脾,肺胃,肺肾
E,具有沉细无力特征的脉象是,濡脉,虚脉,细脉,微脉,弱脉
B,下列可出现心脏扩大呈靴形心的疾病是,主动脉瓣狭窄,主动脉瓣关闭不全,肺心病,二尖瓣狭窄,扩张型心肌病
B,温经汤证腹满的机理是,湿阻气机,瘀阻气机,脾虚不运,寒凝气滞,肝郁脾虚
A,防己、五加皮的共同功效是,利水消肿,杀虫解毒,清肺化痰,清热解毒,活血通络
A,患者，男，46岁。腹痛腹泻2天，日泻10余次水便，经治已缓，目前口渴心烦，皮肤干瘪，眼窝凹陷，舌淡白苔薄黄，脉细无力。其证候是,津亏,阴虚,亡阴,外燥,实热
C,下列疾病表现为黄色脑脊液的是,流行性乙型脑炎,化脓性脑膜炎,陈旧性蛛网膜下腔出血,结核性脑膜炎,脑肿瘤
B,患者，女，60岁，腰膝酸冷疼痛，小便清长，腹痛便秘，宜首选,雄黄,硫黄,蛇床子,白矾,蟾酥
C,左金丸中黄连与吴茱萸用量的配伍比例是,5:01,2:01,6:01,10:01,7:01
E,确诊急性HBV感染，最有意义的指标是,HBsAg阳性,HBeAg阳性,抗-HBe阳转,抗-HBs阳转,HBVDNA阳性
E,半夏泻心汤的组成药物中含有,细辛,大戟,甘遂,厚朴枳实,人参干姜
B,下列不符合房颤听诊特点的是,第一心音强弱不等,第二心音反常分裂,心律绝对不齐,心率快慢不一,脉搏短绌现象
B,缓脉的脉象为,一息四五至,一息四至,一息五至以上,一息七至以上,一息不足四至
D,下列哪项不属于湿热酿痰，蒙蔽心包的临床表现(    ),身热不退,神识昏蒙，似清似昧,时或谵语,手足蠕动，心中悸动,舌苔黄腻，脉濡滑数
B,二陈汤原方注明煎煮时加乌梅一个，其用意是,收敛肺气，以助排痰之力,收敛肺气，以防燥散伤正,生津润燥，以防辛燥伤阴,润肺止咳，以增止咳之效,敛肺涩肠，以防肺气下泄
C,可与金石、贝壳类等药物同用，以助其消化的药物是,谷芽,麦芽,神曲,鸡内金,山楂
A,虚劳虚烦不得眠，治用,酸枣仁汤,百合地黄汤,甘草泻心汤,栀子豉汤,桂枝加龙骨牡蛎汤
B,"""水谷气血之海""是",胆,胃,冲脉,肝,肾
D,风寒束肺型哮喘的治疗首选方是(     ),定喘汤,金匮肾气丸,麻杏石甘汤合苏葶丸,小青龙汤合三子养亲汤,人参五味子汤合玉屏风散
E,不适宜用吴茱萸汤治疗的病证是,胃中虚冷，症见食谷欲呕者,肝寒上逆，症见头痛、干呕、吐涎沫者,肾阳不足，寒气内甚，症见吐利、手足逆冷者,肝寒犯胃，症见脘腹冷痛、呕吐酸水者,脾胃阳虚，阴寒上乘，症见胸满而痛，甚至胸痛彻背者
A,湿热郁蒸肌肤可见,白痦,黄疸,神志昏迷,肌肤发疹,大便下血
E,少阳邪热内迫，肠胃俱病所致干呕而利，当选用何方治疗(   ),小柴胡汤,大黄甘草汤,半夏泻心汤,葛根芩连汤,黄芩加半夏生姜汤
D,龙胆泻肝汤的主治病证是,肝火犯胃证,胃热阴虚证,心经火热证,肝胆实火证,肺热壅盛证
A,伤寒的基本治则是(   ),治病求本，本于阴阳；祛邪扶正，分清主次；调和阴阳，以平为期,治病求本，本于阴阳；明确标本，分清缓急；调和阴阳，以平为期,治病求本，本于阴阳；祛邪扶正，分清主次；正治反治，依证而行,八法兼备，针药并用；祛邪扶正，分清主次；调和阴阳，以平为期,八法兼备，针药并用；祛邪扶正，分清主次；明确标本，分清缓急
E,痰热咳嗽的治法是,散寒宣肺,疏风肃肺,燥湿化痰,滋阴润燥,清肺化痰
E,当归具有的功效是,补血止血,活血止血,止血润肠,补血止泻,补血活血
B,止嗽散的组成中含有,半夏,百部,款冬花,杏仁,苏子
C,下列不属于动脉的脉象特征的是,应指圆滑,脉来有力,如按琴弦,脉短如豆,脉来急促
C,胸痹患者应忌食的是,辛辣、油腻、煎炸类食物,生冷食物,肥肉、脂肪、动物内脏等,鱼、虾、蟹、辛辣刺激性食物,不易消化的食物
D,桃核承气汤与大承气汤组成中均含有的药物是,丹皮、芍药,桂枝、桃仁,枳实、桃仁,芒硝、大黄,桃仁、大黄
A,偏执型人格的特点是,没有证据地怀疑他人不忠或者怀疑自己有某种疾病，并确信不疑,没有计划性的冲动行为,又称表演型人格,不遵守社会规范,主动意识下降
D,鹅口疮的原因是,猩红热,麻疹,肾上腺皮质功能减退,长期使用广谱抗生素,维生素C缺乏
A,口唇呈樱桃红色者，多属于,煤气中毒,鹅口疮,心阳虚,中风,血瘀重症
C,恶阻肝胃不和证的首选方,参苓白术散合益胃汤,补中益气汤,橘皮竹茹汤,香砂六君子汤,清胃散
B,患者，女，32岁。手臂红肿，热毒甚重，舌红苔黄，脉弦数。医生处方中有蒲公英、紫花地丁、野菊花、天花粉、白花蛇舌草五味药。野菊花与菊花相比较，错误的是,都可以清热解毒,菊花多用于治痈疽疔疖,野菊花可治疗头痛眩晕,菊花辛散力强，长于疏散风热,野菊花清热解毒力强于菊花
C,下颌关节脱位复位的主要手法是（  ）,拔伸牵引,屈伸回旋,端提捺正,足蹬膝顶,杠杆支撑
C,被誉为大众情人的水果是:,葡萄,樱桃,苹果,李子,草莓
B,属于奇经者为：,大肠经,任脉,十二经筋,十二经别,十五络
A,发热伴结膜充血的是,钩端螺旋体病,病毒性肝炎,急性胆囊炎,中毒性菌痢,肺炎球菌肺炎
C,有关肠痈的叫法，下列哪一项是错误的：,大肠痈,小肠痈,结肠痈,缩脚肠痈,盘肠痈
E,舒张早期奔马律由下列那项构成：,第一心音分裂,动脉瓣第2音分裂,二尖瓣开瓣音,心包叩击音,病理性第3心音
B,应激生理反应的神经机制主要通过以下途径调节,交感神经－肾上腺髓质轴,丘脑下部－垂体前叶－肾上腺皮质轴,丘脑下部－垂体后叶轴,丘脑下部－垂体前叶－甲状腺轴,丘脑下部－垂体后叶轴－肾上腺皮质轴
B,"男性患者王××，61岁。去年曾患有""急性广泛前壁心肌梗死""，近日心悸不安，胸闷气短，四肢发凉，面色苍白，舌淡苔白，脉象沉弱。若病情未及正治，进一步加重出现心悸喘咳，不能平卧，小便不利，下肢浮肿，畏寒肢冷，舌淡苔水滑，脉弦滑，此为",心脾两虚，血不养心,肾阳虚衰不能制水，水气凌心,脾气虚弱，健运失司,肺气不足，通调水道失司,心阳不足，心失温养
A,心源性水肿常先出现的部位是,身体低垂部位,颜面、眼睑,全身,胸腔,腹腔
C,绝骨穴是：,脏会,腑会,髓会,骨会,筋会
E,一侧眼睑闭合障碍，最可能的原因是,动眼神经麻痹,滑车神经麻痹,展神经麻痹,舌咽神经麻痹,面神经麻痹
D,肝胆实热常见的症状是：,白睛微赤,泪多清稀,白睛红赤隐隐,抱轮红赤,抱轮微红
C,某患者，女，23岁，一日洗澡时偶然发现左侧乳头下方可及一椭圆形肿块，边界清楚，推之可移，无明显疼痛，乳房局部皮肤无明显异常。上例患者首选何治疗方法,中药外敷,口服中药治疗,手术切除,抗结核治疗,调畅情志
E,肝经风热常见的症状是：,眵多硬结,眵稀不结,眵多黄稠,眵多胶粘,眵泪热如汤
C,属于心的主要功能是,调节情志,主藏血,主藏神,调节全身气机,以上均不是
A,胸痹气短，心悸，咽干口燥，神疲乏力，舌淡苔少，脉细弱，最佳方剂是：,生脉散合人参养营汤加减,参附汤合右归饮,血府逐瘀汤,乌头赤石脂丸,栝蒌薤白白酒汤
A,患者男性，35岁，上腹部间歇性疼痛二年，近日突然剧烈腹痛，伴恶心呕吐，呕吐较多剧烈，经X线检查提示有膈下游离气体。最可能的诊断是：,胃十二指肠溃疡穿孔,急性阑尾炎,急性肠梗阻,急性胆囊炎,急性胃炎
D,以产妇分娩后出现情绪低落，精神抑郁为主要症状的病症，称为,产后抑郁性精神病,产后郁冒,产后抑郁综合征,产后抑郁,以上都不是
B,千年健具有的功效是,既能祛风湿，又能清热解毒,既能祛风湿，又能强筋骨,既能祛风湿，又能清虚热,既能祛风湿，又能凉血消肿,既能祛风湿，又能利关节
C,黄芩、黄连、黄柏同用的方剂,清营汤,凉膈散,黄连解毒汤,普济消毒饮,当归拈痛汤
A,治痰剂中常配伍的药物是,理气药,清热药,平肝药,补益药,温里药
B,治疗肝郁型月经先后无定期的代表方是,金铃子散,逍遥散,丹栀逍遥散,柴胡疏肝散,定经汤
B,最早设妇科专篇的医著是,《黄帝内经》,《金匮要略》,《脉经》,《千金要方》,《景岳全书》
A,单踝骨折，距骨无移位属于(   ),Ⅰ度踝部骨折,Ⅱ度踝部骨折,Ⅲ度踝部骨折,Ⅳ度踝部骨折,以上都不是
D,早期胃癌首选治疗措施为,放疗,化疗,免疫治疗,手术,内镜下治疗
A,保守医疗秘密的两方面内容是指,为病人保密与对病人保密,为医院保密与对同事保密,为病人保密与对病人家属保密,为病人家属保密与对病人家属保密,为病人家属保密与对病人保密
B,女患者，产后1周，饮食如常，大便干燥，解时艰涩难下，腹不胀痛。舌淡苔薄白脉虚而涩。治法应为：,益气通便,养血润燥,泻火通便,健脾通便,温肾扶阳
A,眼病初起，星翳点点，红赤流泪，当治以（　　）。,疏风清热法,退翳明目法,泻火解毒法,祛风散寒法,
B,女患者，证见月经四、五十日一行，量少、色淡红，无血块，头晕眼花，心悸少寐，面色苍白，舌淡红，脉细弱。证属：,气虚,血虚,脾虚,气血两虚,心脾两虚
C,干咳少痰，气惴短气，咽干口燥，舌干红少苔，脉虚数，治宜,泻白散,苇茎汤,麦门冬汤,桑杏汤,桑菊饮
D,症见身热甚，迁延缠绵，微恶风寒，肢体酸重疼痛，多因,风邪,寒邪,暑邪,湿邪,以上均不是
D,不影响氯化消毒效果的因素是,加氯量,浑浊度,接触时间,混凝剂种类,水温
C,舌苔骤然消退，舌上无新生舌苔者，属,邪气渐盛,表邪入胃,胃气暴绝,正气胜邪,内邪消散
E,患者，男，咽部疼痛5天，逐渐加剧，有跳动感，吞咽困难，语言含糊，咽部左侧软腭红肿高突，按之软，悬雍垂被推向对侧，左颌下可触及肿大淋巴结。全身有高热，头痛，溲赤便秘，舌质红，苔黄腻，脉数。本病西医诊断为：,咽后脓肿,咽旁脓肿,急性化脓性扁桃体炎,扁桃体肿瘤,扁桃体周围脓肿
B,儿科第一部关于痘疹的专著是：,《小儿痘疹方论》,《小儿斑疹备急方论》,《小儿病原方论》,《幼幼新书》,《活幼心书》
C,脓耳口眼斜属气血亏虚、瘀阻脉络者，应选用哪个方剂：,复元活血汤,通窍活血汤,补阳还五汤,桃红四物汤,牵正散
E,下列哪一项不是实用交流能力的训练方法所强调的内容,常用的原则,传递性的原则,交流策略的原则,交流的原则,反馈原则
A,为将尺、桡骨间隙最大限度地分离，恢复骨间膜的紧张度，常用的手法是(   )。,分骨手法,拔伸手法,折顶手法,挤按手法,回旋手法
C,重度有机磷中毒，全血胆碱酯酶活力在,70%以下,50%以下,30%以下,20%以下,10%以下
A,患者，女，38岁。热入营阴，心神被扰。身热夜甚，心烦不寐，渐有神昏谵语之势，舌绛，脉细数。首选药组是,生地黄、玄参、牡丹皮、赤芍,桑寄生、杜仲、怀牛膝、续断,青蒿、白薇、地骨皮、桑白皮,黄芩、黄连、黄柏、栀子,金银花、穿心莲、贯众、重楼
C,患者，男，23岁。3天前无明显诱因出现咳嗽、咯痰，痰中带血丝。胸部X线检查示：右肺尖部斑片状阴影，边缘模糊，周围见少许斑点及条索状阴影。首先应考虑的诊断是,肺癌,小叶性肺炎,肺结核,肺脓肿,支气管炎
D,下列腧穴属于足阳明胃经的是：,上关,阳白,和髎,下关,睛明
B,除近治作用、远治作用外，腧穴的主治特点还包括,调和作用,特殊作用,平衡作用,疏通作用,扶正作用
E,"""脑转耳鸣，胫疫眩冒，目无所见，懈怠安卧""是由于哪一脏的虚损引起的",心,肝,脾,肺,肾
B,预后最差的肺癌是,鳞形细胞癌,小细胞癌,腺癌,大细胞癌,细支气管肺泡癌
D,手少阳三焦经与手厥阴心包经的交接部位是,拇指端,食指端,中指端,无名指端,小指端
E,郄穴的主治范围是：,外经病为主,脏病为主,腑病为主,慢性病为主,本经、本脏腑的急性病
C,胎漏肾虚证的治法是,活血祛瘀，补肾安胎,补气养血，固肾安胎,补肾健脾，益气安胎,清热凉血，养血安胎,调和气血，安胎
A,下列哪项对记忆的理解是错误的,对识记的事物不能再认或回忆，只有通过重新学习才能再认或回忆的现象是暂时性遗忘,是一种很重要的心理过程，贯穿在人的各种心理活动之中,包括识记、保持和遗忘、回忆和再认三个基本环节,保持过程体现了人脑对识记材料的主动加工,直观的、形象的、有意义的材料比抽象的、枯燥的材料识记效果好
D,"患者男,68岁。有高血压病史,糖尿病病史,2个月前于家中突发言语不能,肢体乏力,送到医院后CT显示左侧基底节区梗死。病情稳定后即开始介入康复治疗。现患者可独立站稳,可动态维持身体稳定,但不能对抗外界干扰,上肢可摸到后背;被动活动股四头肌时,可在全范围内感受到中等阻力,但仍可完成被动活动;患者画钟试验表现为只画出左侧钟面及数字。理解力正常,但表达能力不畅,呈现出电报式语言,复述困难,提示下可引出正确回答,请根据以上病史回答下列问题。患者目前上肢功能对应的Brunnstrom分期应为",1期,2期,3期,4期,5期
D,异位妊娠已破损期休克型的治法,回阳救逆,养阴生津,活血化瘀,益气固脱，活血化瘀,破血通络
D,关于牙痛的治疗，以下哪项是错误的：,近部取穴和远部取穴相结合,主取手足阳明经穴,主穴是合谷、颊车、下关,实火牙痛者，加行间、太溪,毫针刺，酌情补泻
E,组成内不含麝香的方是,安宫牛黄丸,紫雪,至宝丹,回阳救急汤,犀角地黄汤
A,月经后期常与月经过少并见，其共同病因病机有,血虚,气虚,血瘀,气滞,虚寒
E,孕后小腹冷痛，绵绵不止，形寒肢冷，中医辨证为：,气郁,血瘀,气阴两虚,血虚,虚寒
D,易发生骨折延迟愈合的骨折是(   ),股骨粗隆间骨折,股骨颈基底部骨折,腕舟骨结节部骨折,股骨颈头下型骨折,胫骨上1/3骨折
E,患者，女，20岁，未婚。月事非时而下，量多如崩，色鲜，质稠，伴心烦，口渴欲饮，便干溲黄，面部痤疮，舌红苔薄黄，脉细数。根据治崩三法，应首选的是：,塞流,澄源,复旧,调经为本,塞流，澄源并进
D,患者宫内置环后经量过多，行经延长，伴潮热，手足心热，咽干口燥，方选,失笑散,清经散,举元煎,二至丸,止血散
C,某女，30岁，已婚，因半月前施宫内置环术后，至今经血不止，且量多，经色黯红，行经不畅，伴发热，大便干，小便黄，心烦口渴，舌红苔薄，脉弦数。其病机是,素体虚弱，中气不足，冲任不能制约经血,环卧子宫，寒邪乘虚而入，蕴久化热，热扰冲任,环卧子宫，损伤冲任、胞脉，瘀阻子宫，瘀久化热，热扰冲任,素体肾气不足，阴血亏耗，阴虚内热,忧思过度，损伤心脾，营血不足，冲任失固
E,患者，女，46岁。半年来头皮、四肢出现皮损，色焮红，瘙痒，鳞屑增多，有筛状出血点，喜凉怕热，便干尿黄，舌红苔黄，脉滑数。具证候是,血虚肝旺,火毒炽盛,湿热蕴积,血热,风热
B,月经后期、月经过少的虚证的共同病机是,肾虚,血虚,血瘀,气滞,血寒
C,妇产科最早独立分科于：,汉代,唐代,宋代,元代,明代
C,妊娠晚期，头晕头重，胸闷泛恶，突然倒仆，全身抽搐，气粗痰鸣；舌红苔黄腻，脉弦滑数。其证候是,气滞血瘀,肝风内动,痰火上扰,脾虚肝旺,气血虚弱
A,沈某，男，72岁，有消渴病史20余年，昨日受凉后出现身热，微恶寒，少汗，头昏，心烦，口干，干咳无痰，舌红苔少，脉细数。若该病人失治误治，可转变为：,风温肺热,水肿,目盲,肺痨,肺胀
C,下列除哪一项外均为喘证的特征,呼吸困难,张口抬肩,胸高胀满,鼻翼煽动,不能平卧
B,患者，男性，68岁，有2年高血压病史。文化程度大专，工程师。主诉记忆力减退3年，出现幻觉1个月。查体：BP150／90mini-{g，神志清楚，语言流利，远、近记忆明显减退，空间定向力减退。四肢肌力、肌张力正常，病理反射未引出。头颅MPd见颞叶脑萎缩。患者可能处于痴呆的哪一期,早期,中期,晚期,中晚期,超早期
B,下述痰火上扰经行情志异常的主证中，哪项是错误的：,经行狂躁不安,不思饮食,头痛失眠,心胸烦闷,面红目赤
B,行气活血法适用于：,肾子上或阴茎上慢性结节，皮色不变，亦不疼痛,肾子硬结，少腹或会阴胀痛，排尿困难或闭塞不通，舌黯或有瘀点瘀斑,阴囊红肿热痛，肾子肿痛，尿急尿频，尿液黄赤，茎中热痛，精浊赤浊，苔黄腻,腰膝酸痛，头目眩晕，健忘少寐，五心烦热，阳事易兴，小溲黄热而淋漓不爽，舌红苔少,腰膝冷痛，形寒肢冷，性欲减退，阳痿遗精，小便频数，遗尿不禁，囊内积水，舌淡脉细弱
A,女子乳头属：,肝,心,肾,脾,胃
E,表虚易感风邪，宜选用,参苏饮,新加香薷饮,葱豉桔梗汤,加减葳蕤汤,玉屏风散
C,关于外生殖器下列哪项是错误的：,阴阜为耻骨联合前面隆起的脂肪垫,巴氏腺又称前庭大腺,处女膜多在初次性交时破裂，形成处女膜痕,阴蒂位于两侧小阴唇顶端的联合处,阴道前庭前有尿道口，后有阴道口
C,患者，女，25岁，已婚。近半年来常感小腹部隐痛，拒按，痛连腰骶，劳累时加重，带下量多，色黄，质粘稠，胸闷纳呆，口干便秘，小便黄赤，舌体胖大，色红，苔黄腻，脉滑数。治疗应首选,膈下逐瘀汤,少腹逐瘀汤,银甲丸,理冲汤,止带方
E,以下均为乳房检查望诊的内容，除了：,乳房形状、对称与否,乳房表面有无突起和凹陷,乳头有无内陷，有无溢液等,乳房皮肤有无发红、水肿和橘皮样改变,腋窝淋巴结有无肿大
A,形盛气虚者的表现为,肥而食少,胖而能食,形瘦食多,形瘦食少,骨瘦如柴
C,在超短波进行微热量治疗时，大功率治疗仪浅作用时电极皮肤间隙为,1～2cm,2～3cm,3～4cm,4～5cm,5～6cm
B,感觉检查中的浅感觉检查包括的内容是（  ）,痛觉；位置觉；温度觉,痛觉；温度觉；触觉,震动觉；痛觉触觉,痛觉；实体觉；触觉,位置觉；震动觉；实体觉；触觉
B,脾气虚弱，中气下陷，冲任不固导致胎、产、崩、伤诸病，代表方剂为,八珍汤,补中益气汤,归脾汤,十全大补汤,六君子汤
A,三宝养生论中的“三宝”是指：,精气神,气血津,心肝肾,神魂魄,以上均不是
A,天麻钩藤饮主治证见,头痛，眩晕，失眠，舌红苔黄，脉弦,口眼歪斜，舌强不能言语，手足不能运动,头痛，恶寒发热，眩晕鼻塞，苔薄白，脉浮,头痛，眩晕，胸闷呕恶，苔白腻，脉弦滑,头目眩晕，目胀耳鸣，面色如醉，口角歪斜，脉弦长有力
